"Return deal &bull; Reduce CO₂", "Return deal &bull; Verminder CO₂"
"The item will be shipped directly from another customer.", "Het artikel wordt rechtstreeks door een andere klant verzonden."
"Important to know:", "Belangrijk om te weten:"
"It is in brand-new condition. If not, let us know in the rating mail", "Het verkeert in gloednieuwe staat. Zo niet, laat het ons weten in de beoordelingsmail."
"The packaging may differ", "De verpakking kan afwijken."
"You are refunded within 3 days after the Forward arrived at the buyer", "U wordt binnen 3 dagen terugbetaald nadat de Forward bij de koper is aangekomen."
